SKU;Brand;Title;Rating Value;Review Count;Price;Availability;Item;Model;URL Image;URL
1003008884;Summit Appliance;Summit Appliance Professiol 16.4-cu ft Bottom-Freezer Refrigerator Single Ice Maker (Stainless Steel) ENERGY STAR;0.0;0.0;2125.5;InStock;2638287;FFBF287SSIMLHD;//mobileimages.lowes.com/product/converted/761101/761101053141.jpg;https://www.lowes.com/pd/Summit-Appliance-Professiol-16-4-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1003008884
1002949938;Samsung;Samsung 11.3-cu ft Counter-Depth Bottom-Freezer Refrigerator (Fingerprint-Resistant Stainless Steel) ENERGY STAR;0.0;0.0;null;InStock;2514539;RB10FSR4ESR;//mobileimages.lowes.com/product/converted/887276/887276390154.jpg;https://www.lowes.com/pd/Samsung-11-3-cu-ft-Bottom-Freezer-Refrigerator-Fingerprint-Resistant-Stainless-Steel-ENERGY-STAR/1002949938
1002891488;Fisher & Paykel;Fisher & Paykel 17.1-cu ft Counter-Depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR;0.0;0.0;null;InStock;2417899;RF170WDLJX5;//mobileimages.lowes.com/product/converted/822843/822843258000.jpg;https://www.lowes.com/pd/Fisher-Paykel-17-1-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002891488
1002891492;Fisher & Paykel;Fisher & Paykel 17.1-cu ft Counter-Depth Bottom-Freezer Refrigerator with Ice Maker (Fingerprint-Resistant Stainless Steel) ENERGY STAR;5.0;1.0;null;InStock;2417900;RF170WDRJX5;//mobileimages.lowes.com/product/converted/822843/822843258017.jpg;https://www.lowes.com/pd/Fisher-Paykel-17-1-cu-ft-Bottom-Freezer-Refrigerator-Single-Ice-Maker-Stainless-Steel-ENERGY-STAR/1002891492
1002887796;Whirlpool;Whirlpool 12.7-cu ft Counter-Depth Bottom-Freezer Refrigerator (White) ENERGY STAR;3.0;1.0;null;InStock;894936;WRB533CZJW;//mobileimages.lowes.com/product/converted/883049/883049487854.jpg;https://www.lowes.com/pd/Whirlpool-12-7-cu-ft-Bottom-Freezer-Refrigerator-White-ENERGY-STAR/1002887796
1002887780;Whirlpool;Whirlpool 12.7-cu ft Counter-Depth Bottom-Freezer Refrigerator (Black) ENERGY STAR;3.0;1.0;null;InStock;894934;WRB533CZJB;//mobileimages.lowes.com/product/converted/883049/883049487861.jpg;https://www.lowes.com/pd/Whirlpool-12-7-cu-ft-Bottom-Freezer-Refrigerator-Black-ENERGY-STAR/1002887780
1002736888;Fisher & Paykel;Fisher & Paykel 7.95-cu ft Counter-Depth Bottom-Freezer Refrigerator (Gray) ENERGY STAR;0.0;0.0;null;InStock;1323687;RB2470BRV1;//mobileimages.lowes.com/product/converted/822843/822843253814.jpg;https://www.lowes.com/pd/Fisher-Paykel-7-95-cu-ft-Counter-Depth-Bottom-Freezer-Refrigerator-Gray-ENERGY-STAR/1002736888
1001098138;Bosch;Bosch Benchmark 16-cu ft Counter-depth Bottom-Freezer Refrigerator with Ice Maker (Custom Panel) ENERGY STAR;5.0;3.0;null;InStock;1573408;B30IB900SP;//mobileimages.lowes.com/product/converted/825225/825225946786.jpg;https://www.lowes.com/pd/Bosch-Benchmark-16-cu-ft-Counter-depth-Bottom-Freezer-Re/1001098138
1000907544;Chambers;Chambers Fun Fridge 8.5-cu ft Counter-depth Bottom-Freezer Refrigerator (Butter Cream) ENERGY STAR;0.0;0.0;759;InStock;1303603;MRB192-07BC;//mobileimages.lowes.com/product/converted/062845/06284518521002.jpg;https://www.lowes.com/pd/Chambers-Fun-Fridge-8-5-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Butter-Cream-ENERGY-STAR/1000907544
1000907570;Chambers;Chambers Fun Fridge 7-cu ft Counter-depth Bottom-Freezer Refrigerator (Frost White) ENERGY STAR;0.0;0.0;null;OutOfStock;1303604;MRB192-07FW;//mobileimages.lowes.com/product/converted/062845/06284518521019.jpg;https://www.lowes.com/pd/Chambers-Fun-Fridge-7-cu-ft-Counter-depth-Bottom-Freezer-Refrigerator-Frost-White-ENERGY-STAR/1000907570
